№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
1;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2013-2015;9;личное;лик молодого царя на зелёном фоне (волхва);1) ?лоб и щеки (личная охра желтый), брови, волосы (пурпур?), желтый в в короне  2) ОЕ: Фото 2 - не для каталога, а для статьи
2;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;440;2013-2015;5;;лик средовека с волнистой бородой (Спаситель);Щека чистая, волосы (что дает зелёный?) 2) ОЕ: Фото 2 - не для каталога, а для статьи
3;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2013-2015;3;;;Белила?
4;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2013-2015;12;;лик старца с высоким лбом и зелёной карнацией (апостол, святой) ;Волосы, сине зелёный у волос, сине-зелёный у носа, лоб, нимб внимательно, свет, зрачок, ухо посмотреть
5;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2013-2015;13;;лик старец с длинной бородой в святительских (?) одеждах;личные охры, зелёный одежда, борода (есть ли бирюзовый?) что за пигмент? Желтый и др (одежда)
6;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№21;;1993;1;;фрагмент лика с нависающей переносицей и левым глазом;
7;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№21;;1993;1;;фрагмент лика с левым ухом и седыми волосами;
8;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№67;траншея;1993;190;;;
9;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№66;траншея;1993;60;;;
10;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№68;траншея;1993;290;;;
11;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№71;траншея;1993;80;;;
12;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№69;траншея;1993;40;;;
13;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№73;траншея;1993;100;;;
14;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№72;траншея;1993;180;;;
15;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№75;траншея;1993;540;;;
16;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№74;траншея;1993;180;;;
17;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;;;1994;60;;;
18;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№27;траншея;1993;340;;;
19;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;1994;1;;фрагмент лика безусого и безбородого юноши;
20;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№26;траншея;1993;300;;;
21;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№25;траншея;1993;280;;;
22;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№24;траншея;1993;170;;;
23;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№66;траншея;1993;1;;фрагмент лика с глазом под охристой записью;
24;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№119;кв. 4, пл. 3;2015;1;;губы;Северная апсида, коричневый (лоток на столе), измерения 635, 637, 638 (3 измерения, штукатура-цвет-цвет)
25;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№119;кв. 4, пл. 3;2015;150;;;Северная апсида, коричневый (лоток на столе), измерения 639, 641, 643 (3 измерения, штукатура-цвет-цвет)
26;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№23;траншея;1993;200;;;
27;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№22;траншея;1993;660;;;
28;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№21;траншея;1993;30;;;
29;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№20;траншея;1993;170;;;
30;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№19;траншея;1993;170;;;
31;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№18;траншея;1993;410;;;
32;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№17;траншея;1993;80;;;
33;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№16;траншея;1993;400;;;
34;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№15;траншея;1993;80;;;
35;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№14;траншея;1993;200;;;
36;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№13;траншея;1993;80;;;
37;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№12;траншея;1993;27;;;
38;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№11;траншея;1993;70;;;
39;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№10;траншея;1993;180;;;
40;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 8;траншея;1993;120;;;
41;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 9;траншея;1993;210;;;
42;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 7;траншея;1993;640;;;
43;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 6;траншея;1993;190;;;
44;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 5;траншея;1993;50;;;
45;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 4;траншея;1993;330;;;
46;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 3;траншея;1993;180;;;
47;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 1;траншея;1993;35;;;
48;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№ 2;траншея;1993;56;;;
49;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№65;траншея;1993;600;;;
50;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№64;траншея;1993;430;;;
51;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№63;траншея;1993;56;;;
52;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№62;траншея;1993;74;;;
53;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№61;траншея;1993;60;;;
54;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№60;траншея;1993;153;;;
55;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№59;кв. 4, пл. 3;2015;45;;;
56;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№58;траншея;1993;340;;;
57;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№57;траншея;1993;200;;;
58;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№56;траншея;1993;100;;;
59;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№55;траншея;1993;70;;;
60;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№54;траншея;1993;86;;;
61;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№53;траншея;1993;110;;;
62;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№52;траншея;1993;380;;;
63;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№51;траншея;1993;230;;;
64;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№50;траншея;1993;200;;;
65;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№49;траншея;1993;140;;;
66;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№48;траншея;1993;140;;;
67;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№38;траншея;1993;130;;;
68;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№47;траншея;1993;300;;;
69;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№46;траншея;1993;55;;;
70;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№45;траншея;1993;90;;;
71;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№44;траншея;1993;61;;;
72;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№43;траншея;1993;250;;;
73;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№42;траншея;1993;340;;;
74;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№41;траншея;1993;120;;;
75;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№40;траншея;1993;87;;;
76;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№39;траншея;1993;56;;;
77;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;1994;1;;;
78;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№208;кв. 4, пл. 2;2015;1;;;
79;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№21;траншея;1993;2;;;
80;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№321;уч. 20, пл 4;2016;1;;Фрагмент лика с левым глазом и частью носа;
81;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№21;траншея;1993;2;;;
82;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№37;траншея;1993;190;;;
83;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№36;траншея;1993;120;;;
84;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№35;траншея;1993;83;;;
85;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№34;траншея;1993;180;;;
86;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№33;траншея;1993;320;;;
87;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№32;траншея;1993;53;;;
88;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№31;траншея;1993;80;;;
89;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№30;траншея;1993;300;;;
90;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№29;траншея;1993;190;;;
91;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№28;траншея;1993;160;;;
92;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№101;кв. 9, пл. 5;2015;180;;;
93;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№102;кв. 8, пл. 6;2015;150;;;
94;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№103;кв. 8, пл. 5;2015;60;;;
95;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№104;кв. 3, пл. 2 и кв. 2, пл. 3;2015;240;;;
96;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№105;кв. 8, пл. 7;2015;200;;;
97;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№106;кв 6, пл. 4;2015;190;;;
98;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№107;кв. 7, пл. 4;2015;240;;;
99;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№108;кв. 8, пл. 10;2015;33;;;
100;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№109;уч. 1, пл. 5;2015;77;;;
101;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№112;кв. 7, пл. 4;2015;84;;;
102;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№115;кв. 4, пл.3;2015;260;;;
103;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№118;уч. 3, пл. 3;2015;130;;;
104;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№117;кв. 10-11;2015;72;;;
105;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№116;кв. 8, пл. 4;2015;104;;;
106;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№114;кв. 4, пл. 3;2015;210;;;
107;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№113;кв. 7, пл. 5;2015;50;;;
108;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№111;кв. 8, пл. 4;2015;130;;;
109;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№110;кв. 3, пл. 4;2015;610;;;
110;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№130;кв. 8, пл. 4;2015;250;;;
111;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№129;кв. 6, пл. 8;2015;210;;;
112;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№131;кв. 6, пл. 8;2015;150;;;
113;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№132;кв. 7, пл. 5;2015;18;;;
114;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№124;кв. 4, пл. 3;2015;530;;;
115;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№123;кв. 8, пл. 3;2015;120;;;
116;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№122;кв. 8, пл. 8;2015;70;;;
117;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№121;кв. 8-9, пл. 9;2015;120;;;
118;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№120;кв. 8, пл. 7;2015;69;;;
119;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№70;траншея;1993;68;;;нет планшета
120;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№154;кв. 6, пл. 7;2015;70;;;
121;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№155;кв. 7, пл. 3;2015;830;;;
122;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№149;кв. 8-9, пл. 9;2015;150;;;
123;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№150;кв. 9, пл. 5;2015;200;;;
124;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№151;кв. 8, пл. 4;2015;101;;;
125;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№152;кв. 6, пл. 8;2015;71;;;
126;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№126;кв. 4, пл. 4;2015;46;;;
127;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№127;уч. 3, пл. 4;2015;77;;;
128;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№125;отвал;2015;100;;;
129;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№153;кв. 6, пл. 4;2015;51;;;
130;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№147;кв. 7-9, пл. 10;2015;130;;;
131;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№148;кв. 9, пл. 6;2015;100;;;
132;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№146;кв. 9, пл. 7;2015;15;;;
133;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№128;уч. 7-9, пл. 10;2015;39;;;
134;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№133;кв. 8, пл. 6;2015;25;;;
135;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№136;кв. 7, пл. 6;2015;12;;;
136;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№134;кв. 9, пл. 8;2015;22;;;
137;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№145;кв. 9, пл. 7;2015;90;;;
138;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№144;кв. 1, пл. 3;2015;110;;;
139;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№143;кв. 8, пл. 8;2015;15;;;
140;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№142;кв. 6, пл. 3;2015;200;;;
141;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№141;кв. 9, пл. 8;2015;140;;;
142;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№140;кв. 4, пл. 3;2015;330;;;
143;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№139;кв. 9, пл. 6;2015;23;;;
144;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№138;кв. 8, пл. 7;2015;190;;;
145;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№137;кв. 4, пл. 3;2015;370;;;
146;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№162;кв. 7-9, пл. 10;2015;51;;;
147;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№168;кв. 4. пл. 4;2015;130;;;
148;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№163;кв. 4, пл. 3;2015;260;;;
149;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№160;кв. 7, пл. 3;2015;870;;;
150;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№159;кв. 3, пл. 3;2015;44;;;
151;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№158;кв. 4. пл. 3;2015;390;;;
152;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№157;кв. 8, пл. 7;2015;140;;;
153;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№156;кв. 8, пл. 4;2015;200;;;
154;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;;кв. 8-9, пл. 9;2015;82;;;
155;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№213;кв. 9, пл. 8;2015;52;;;
156;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№188;кв. 8, пл. 7;2015;45;;;
157;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№230;кв. 5, пл. 6;2015;50;;;
158;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№194;кв. 10, пл. дерн;2015;77;;;
